"company_overseas_infrastructure_id","company_id","infrastructure_type_id","secondary_infrastructure_type_id","country_id","city","overseas_infrastructure_lat","overseas_infrastructure_lng","label","year_commenced","year_ended","Primary topic","Secondary (if needed)","Third topic","text","cable_id","highlight","cable_owner","curr_not_in_use","type_of_company_id_ref","ownership_structure_id_ref","cable_countries","(data centre) type","street address","","Do Not Touch - For Country Counts","Infrastructure 1","Infrastructure 2","Topic 1","Topic 2","Topic 3","Company","","Cable","Terrestrial","Leased"
"1571","7 | China Unicom","13 | Cable Terrestrial","","","","","","TEA","unknown","","","","","<p>The TEA (Transit Europe&ndash;Asia) cable runs through Russia on Rostelecom's backbone network, through China on China Telecom or China Unicom's backbone network, and to Japan across the RJCN submarine cable.</p>
<p>China Telecom's&nbsp;<a href=""https://www.submarinenetworks.com/systems/asia-europe-africa/tea/tea-cable-network"">access to this cable over Russian territory</a> is through an agreement with Russian operator Rostelecom, with peer connections into China through China Telecom and China Unicom. TEA connects into ERA, which is handled by China Unicom and Russian Transtelekom (TTK). The TEA connection to Japan via the RJCN submarine cable is handled by KDDI and Rostelecom.</p>
<p>In 2011, with Rostelecom, China Telecom <a href=""https://www.capacitymedia.com/articles/2823726/china-telecom-and-rostelecom-partner-to-upgrade-terrestrial-route-between-asia-and-europe"">invested</a> in the upgrade of this cable and lists it as part of its terrestrial cables in its <a href=""http://web.archive.org/web/20191011060301/https://image.slidesharecdn.com/chinatelecomamericas-generaloverview-september21-180315164945/95/china-telecom-americas-general-overview-8-638.jpg?cb=1521133069"">Asia&ndash;Europe terrestrial cable resources</a>. The TEA forms part of China Telecom's <a href=""http://archive.is/KXtgm"">Euro&ndash;Asia Network Solution (ENS)</a>.</p>
<p>Visit <a href=""http://web.archive.org/web/20190713113739/http://www.hkcolo.com/hkconnect/2011/event/thankyou/pdf/Rostelecom_Irina.pdf"">Rostelecom</a> for more about TEA and TEA-2.</p>
<p>More about China Telecom's <a href=""https://chinatechmap.aspi.org.au/#/map/marker-1517"">relationship with Rostelecom</a> can be found through our China Telecom &ndash; Rostelecom entry.</p>
<p>Cable line by ASPI, sourced from <a href=""https://web.archive.org/web/20190626233637/https://i0.wp.com/www.ctamericas.com/wp-content/uploads/2017/03/China_Telecom_Network_Map_2017.jpg"">China Telecom Network Map (2017)</a></p>","transit-europe-asia-tea","FALSE","Rostelecom (Russia) peered with <b>China Telecom</b> and <b>China Unicom</b> (China), peered with KDDI (Japan)","","1 | Telecommunications","1 | State-owned enterprise","China,Russia,Finland","","","","","13 | Cable Terrestrial","","","","","7 | China Unicom","","","transit-europe-asia-tea",""
"1689","1 | Huawei","15 | Telecommunications or ICT","","103 | India","","12.98805","77.59411","Airtel LTE ","2019","","","","","<p>A January 2019 media report said Indian telecom service company Bharti Airtel was <a href=""https://www.telegeography.com/products/commsupdate/articles/2019/01/23/airtel-rolls-out-900mhz-lte-in-ten-circles/"">working with</a> vendors, including Huawei, to deploy LTE in India. It was later <a href=""https://telecom.economictimes.indiatimes.com/news/airtel-gradually-reducing-dependency-on-huawei-4g-set-to-award-new-biz-to-ericsson/77053275"">reported</a> in July 2020 that Bharti Airtel was preparing to replace Huawei with Sweden's Ericsson for '4G network expansion and modernisation in the Rest of Tamil Nadu (RoTN) circle' <a href=""https://economictimes.indiatimes.com/industry/telecom/telecom-news/bharti-airtel-to-ditch-huawei-and-zte-may-go-for-nokia-ericsson-for-5g-trials/articleshow/77625680.cms?from=mdr"">for 5G trials</a>.</p>","","FALSE","","","1 | Telecommunications","6 | Private company","","","","","","15 | Telecommunications or ICT103 | India","103 | India","103 | India","103 | India","103 | India","1 | Huawei103 | India","","","",""
"1904","1 | Huawei","12 | 5G relationship","","121 | Kuwait","","29.34798","48.08941","Viva 5G deal","2019","","3 | 5G","","","<p>In March 2019, Viva Kuwait and Huawei <a href=""http://www.tradearabia.com/news/IT_351894.html"">agreed</a> to cooperate on establishing a 5G Innovation Center.</p>
<p>Viva Kuwait also <a href=""https://www.commsupdate.com/articles/2019/12/16/viva-kuwait-and-huawei-sign-5g-advancement-mou/"">signed </a>a MoU in December 2019 on advancing 5G solutions, including developing IoT solutions and the 5G ecosystem in Kuwait.</p>","","FALSE","","","1 | Telecommunications","6 | Private company","","","","","","12 | 5G relationship121 | Kuwait","121 | Kuwait","3 | 5G121 | Kuwait","121 | Kuwait","121 | Kuwait","1 | Huawei121 | Kuwait","","","",""
"1907","1 | Huawei","12 | 5G relationship","","23 | Bahrain","","26.23239","50.55093","VIVA 5G deal","2019","","3 | 5G","","","<p>At the 2019 World Mobile Congress in Barcelona, STC Bahrain (previously known as VIVA Bahrain) <a href=""https://www.huawei.com/en/press-events/news/2019/2/viva-bahrain-agreement-huawei"">signed</a> a nationwide 5G service agreement with Huawei. VIVA Bahrain is the leading telecommunications provider in Bahrain.</p>
<p>In January 2020, in cooperation with Huawei, STC Bahrain <a href=""https://www.commsupdate.com/articles/2020/01/17/stc-bahrain-extends-reach-of-5g-network/"">announced</a> the next phase launch of 5G mobile broadband and home broadband services, which now cover over 50% of the country. The initial launch in selected areas was in June 2019.</p>","","FALSE","","","1 | Telecommunications","6 | Private company","","","","","","12 | 5G relationship23 | Bahrain","23 | Bahrain","3 | 5G23 | Bahrain","23 | Bahrain","23 | Bahrain","1 | Huawei23 | Bahrain","","","",""
"1908","1 | Huawei","12 | 5G relationship","","243 | South Africa","","-26.04436","28.01887","Rain 5G deal","2019","","3 | 5G","","","<p>A Huawei press release said that at the 2019 World Mobile Congress in Barcelona, South African mobile-data only operator Rain announced that it had <a href=""https://www.huawei.com/en/press-events/news/2019/2/rain-huawei-first-5g-commercial-network-south-africa"">launched</a> South Africa&rsquo;s first 5G commercial network in partnership with Huawei. South Africa was one of the first countries to launch a 5G network. In November 2019, the 5G service was <a href=""https://businesstech.co.za/news/telecommunications/352717/rain-5g-launches-in-south-africa/"">officially opened to the public</a>, beyond a select group of existing customers.&nbsp;<span style=""font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Oxygen, Ubuntu, Cantarell, 'Open Sans', 'Helvetica Neue', sans-serif;"">In July 2020, a Huawei press release said Rain and Huawei</span><span style=""font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Oxygen, Ubuntu, Cantarell, 'Open Sans', 'Helvetica Neue', sans-serif;"">&nbsp;</span><a style=""font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Oxygen, Ubuntu, Cantarell, 'Open Sans', 'Helvetica Neue', sans-serif;"" href=""https://web.archive.org/web/20201003124544/https://www.huawei.com/en/news/2020/7/rain-huawei-africa-first-standalone-5g-network"">launched</a><span style=""font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Oxygen, Ubuntu, Cantarell, 'Open Sans', 'Helvetica Neue', sans-serif;"">&nbsp;</span><span style=""font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Oxygen, Ubuntu, Cantarell, 'Open Sans', 'Helvetica Neue', sans-serif;"">Africa's first stand-alone 5G network. </span><span style=""font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Oxygen, Ubuntu, Cantarell, 'Open Sans', 'Helvetica Neue', sans-serif;"">During 2020, Rain hoped to expand 5G coverage to more areas of South Africa.</span></p>
<p>&nbsp;</p>","","FALSE","","","1 | Telecommunications","6 | Private company","","","","","","12 | 5G relationship243 | South Africa","243 | South Africa","3 | 5G243 | South Africa","243 | South Africa","243 | South Africa","1 | Huawei243 | South Africa","","","",""
"1909","1 | Huawei","12 | 5G relationship","","190 | Saudi Arabia","","24.75243","46.57567","STC 5G deal ","2019","","3 | 5G","","","<p>At the 2019 Mobile World Congress in Barcelona, Saudi Telecom Company and Huawei <a href=""https://www.huawei.com/en/press-events/news/2019/2/STC-Huawei-5G-Aspiration-Project"">signed an agreement</a> to cooperate on 5G technology.</p>","","FALSE","","","1 | Telecommunications","6 | Private company","","","","","","12 | 5G relationship190 | Saudi Arabia","190 | Saudi Arabia","3 | 5G190 | Saudi Arabia","190 | Saudi Arabia","190 | Saudi Arabia","1 | Huawei190 | Saudi Arabia","","","",""
"1910","1 | Huawei","12 | 5G relationship","","107 | Iceland","","64.13882","-21.89054","Nova 5G deal","2019","","3 | 5G","","","<p>At the 2019 Mobile World Congress in Barcelona, Huawei and Nova <a href=""https://www.huawei.com/en/press-events/news/2019/2/Huawei-Icelandic-Operator-Nova-Agreement-5G-Testing"">signed an agreement</a> to cooperate on 5G technology in Iceland.</p>","","FALSE","","","1 | Telecommunications","6 | Private company","","","","","","12 | 5G relationship107 | Iceland","107 | Iceland","3 | 5G107 | Iceland","107 | Iceland","107 | Iceland","1 | Huawei107 | Iceland","","","",""
"1911","","","","","","","","","","","","","","<p>This entry has moved <a href=""https://chinatechmap.aspi.org.au/#/map/marker-1070"">here</a>. Please update your bookmark.</p>","","FALSE","","","","","","","","","","","","","","","","","","",""
"1934","1 | Huawei","8 | Data centre","","243 | South Africa","","-26.06614","28.08529","Johannesburg Data Centre","2019","","11 | Cloud","","","<p>In February 2019, Huawei announced that it would <a href=""https://www.reuters.com/article/us-huawei-safrica/huawei-to-build-data-centers-in-south-africa-idUSKCN1Q3187"">build</a> two data centres in South Africa as part of plans to expand cloud services across Africa. 'The company is working with South African partners for the construction of the data centers in Johannesburg initially and later Cape Town,' Huawei said in a statement. Construction for the centres were expected to begin the following month in March 2019.</p>","","FALSE","","","1 | Telecommunications","6 | Private company","","","","","","8 | Data centre243 | South Africa","243 | South Africa","11 | Cloud243 | South Africa","243 | South Africa","243 | South Africa","1 | Huawei243 | South Africa","","","",""
"1935","1 | Huawei","8 | Data centre","","243 | South Africa","","33.92490","18.42410","Cape Town Data Centre","2019","","11 | Cloud","","","<p>In February 2019, Huawei announced that it would <a href=""https://www.reuters.com/article/us-huawei-safrica/huawei-to-build-data-centers-in-south-africa-idUSKCN1Q3187"">build</a> two data centres in South Africa as part of plans to expand cloud services across Africa. 'The company is working with South African partners for the construction of the data centers in Johannesburg initially and later Cape Town,' Huawei said in a statement. Construction for the centres were expected to begin the following month in March 2019.</p>","","FALSE","","","1 | Telecommunications","6 | Private company","","","","","","8 | Data centre243 | South Africa","243 | South Africa","11 | Cloud243 | South Africa","243 | South Africa","243 | South Africa","1 | Huawei243 | South Africa","","","",""
"1937","7 | China Unicom","13 | Cable Terrestrial","","","","","","ERA","unknown","","","","","<p>The ERA (Euro Russia Asia) Link is listed as part of China Mobile's '<a href=""https://web.archive.org/web/20190626232927/https://www.cmi.chinamobile.com/sites/default/files/inline-images/ENG%20MAP.jpg"">global network capabilities</a>'. It is listed as part of China Unicom's Europe-to-Asia terrestrial cable systems <a href=""http://web.archive.org/web/20190716032029/https://www.slideshare.net/AbhijitDatey/china-unicom-global-profile"">(slide 10)</a></p>
<p>Owner data <a href=""https://www.submarinenetworks.com/en/systems/asia-europe-africa/tea/tea-cable-network"">is available here.</a></p>","euro-russia-asia-era","FALSE","<b>China Unicom</b>, NTT and TransTeleKom (TTK)","","1 | Telecommunications","1 | State-owned enterprise","China,Russia,Finland,Sweden,United Kingdom","","","","","13 | Cable Terrestrial","","","","","7 | China Unicom","","","euro-russia-asia-era",""
"1974","1 | Huawei","10 | Subsidiary","18 | Surveillance equipment","188 | Russia","Moscow","55.78894","37.49747","Eagle Softlab/Vocord ","2019","","6 | Surveillance","","","<p>In May 2019, Huawei <a href=""https://www.ewdn.com/2019/06/10/huawei-acquires-russian-face-recognition-technology/"">acquired</a> Eagle Softlab (Игл Софтлаб), a Russian company founded in 2018 and linked to surveillance company Vocord, which makes cameras and facial recognition technology. The acquisition included staff and the patents and equipment related to Vocord&rsquo;s video surveillance and face recognition technology. The staff and technologies will reportedly <a href=""https://web.archive.org/web/20190630075629/https://russiabusinesstoday.com/technology/huawei-buys-russian-facial-recognition-company-for-50mn/"">be transferred to Eagle Softlab</a>&mdash;a new firm set up by Huawei&rsquo;s Russian subsidiary and Huawei Digital Technologies. Huawei's acquisition of the Russian company came one day ahead of Chinese President Xi Jinping&rsquo;s 2019 <a href=""https://web.archive.org/web/20190630075629/https://www.cnbc.com/2019/05/31/trumps-escalating-trade-war-gives-heat-to-putin-and-xis-growing-bromance.html"">state visit</a> to Russia. Launched in 1999, Vocord has clients that <a href=""https://web.archive.org/web/20191112072601/https://investforesight.com/huawei-might-acquire-russias-vocord-software-developer/"" target=""_blank"" rel=""noopener"">are reported to include</a> the Russian Ministry of the Interior and the Federal Security Service, as well as banks and mobile network operators. More detail on the growing technology relationship between Russia and China can be <a href=""https://www.aspi.org.au/report/new-sino-russian-high-tech-partnership"">found here</a>.</p>","","TRUE","","","1 | Telecommunications","6 | Private company","","","","","","10 | Subsidiary188 | Russia","18 | Surveillance equipment188 | Russia","6 | Surveillance188 | Russia","188 | Russia","188 | Russia","1 | Huawei188 | Russia","","","",""
"192","1 | Huawei","1 | R&D lab","","188 | Russia","Moscow","55.75625","37.60374","OpenLab","2018","","2 | Smart cities","","","<p>In April 2018, Huawei <a href=""https://archive.fo/9mXgm"">opened</a> an OpenLab in Moscow focused on Safe City, Smart City, and finance solutions.&nbsp;</p>
<p>In August 2020, Huawei OpenLab Moscow <a href=""https://www.federalregister.gov/documents/2020/08/20/2020-18213/addition-of-huawei-non-us-affiliates-to-the-entity-list-the-removal-of-temporary-general-license-and"">was added</a> to the US Entity List.</p>","","FALSE","","","1 | Telecommunications","6 | Private company","","","","","","1 | R&D lab188 | Russia","188 | Russia","2 | Smart cities188 | Russia","188 | Russia","188 | Russia","1 | Huawei188 | Russia","","","",""
"196","1 | Huawei","1 | R&D lab","","103 | India","Delhi","28.59583","77.19717","OpenLab","2018","","2 | Smart cities","6 | Surveillance","8 | US Entity List","<p>In October 2018, Huawei <a href=""https://archive.fo/c4CX3"">opened</a> an OpenLab in New Delhi focused on Smart City and Safe City solutions including smart campus, urban Internet of Things (IoT), smart lighting, smart building, converged command control, and intelligent video surveillance.</p>
<p>&nbsp;In August 2020, Huawei OpenLab Delhi <a href=""https://www.federalregister.gov/documents/2020/08/20/2020-18213/addition-of-huawei-non-us-affiliates-to-the-entity-list-the-removal-of-temporary-general-license-and"">was added</a> to the US Entity List.</p>","","FALSE","","","1 | Telecommunications","6 | Private company","","","","","","1 | R&D lab103 | India","103 | India","2 | Smart cities103 | India","6 | Surveillance103 | India","8 | US Entity List103 | India","1 | Huawei103 | India","","","",""
"216","1 | Huawei","1 | R&D lab","","72 | France","Grenoble","45.18913","5.71982","Sensor and Software R&D Centre","2018","","","","","<p>A November 2018 Xinhua report said Huawei opened its fifth <a href=""https://archive.vn/eFePm"">R&amp;D centre</a>&nbsp;in France.</p>","","FALSE","","","1 | Telecommunications","6 | Private company","","","","","","1 | R&D lab72 | France","72 | France","72 | France","72 | France","72 | France","1 | Huawei72 | France","","","",""
